"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
2,819466019E0	1,500000060E-1	4,573050022E0	1,055400085E1
2,839629476E0	3,100500107E-1	4,711950302E0	9,370950699E0
2,859793161E0	2,020500153E-1	4,599000454E0	9,684000015E0
2,879956565E0	-3,105000220E-2	4,971000195E0	9,535950661E0
2,900120245E0	5,595000088E-2	5,095050335E0	9,637050629E0
2,920283856E0	2,890500128E-1	5,140950203E0	9,691950798E0
2,940447285E0	1,159500033E-1	5,550000191E0	8,776950836E0
2,960610978E0	-2,179500163E-1	5,670000076E0	8,502000809E0
2,980774611E0	-4,740000367E-1	5,919000149E0	8,077950478E0
3,000938078E0	-6,490500569E-1	5,884950161E0	7,924950600E0
3,021101727E0	-5,509500504E-1	5,590950489E0	7,764000416E0
3,041265189E0	-2,590500116E-1	5,335050106E0	8,083050728E0
3,061428874E0	-5,479500294E-1	5,665050507E0	8,584950447E0
3,081592505E0	-8,209500313E-1	5,835000515E0	8,037000656E0
3,101755963E0	-5,050500035E-1	5,607000351E0	7,800000191E0
3,121919643E0	-6,195000187E-2	5,362950325E0	7,672950268E0
3,142083254E0	4,750500321E-1	5,145000458E0	7,360050201E0
3,162246961E0	8,629500270E-1	4,879950047E0	7,327950478E0
3,182410418E0	7,410000563E-1	4,735949993E0	8,152050018E0
3,202574110E0	5,059500337E-1	4,686000347E0	8,619000435E0
3,222737716E0	-1,840500087E-1	5,100000381E0	8,698050499E0
3,242901167E0	-3,259500265E-1	5,023050308E0	8,629050255E0
3,263064865E0	-1,905000024E-2	5,113950253E0	8,217000008E0
3,283228504E0	2,910000086E-1	5,253000259E0	7,672950268E0
3,303391961E0	5,500500202E-1	5,341950417E0	7,266000271E0
3,323555566E0	5,950500369E-1	5,488050461E0	7,144050121E0
3,343719028E0	5,350500345E-1	5,518950462E0	7,209000111E0
3,363882739E0	2,719500065E-1	5,698050499E0	7,198950291E0
3,384046140E0	-7,660500407E-1	6,096000195E0	7,680000305E0
3,404209771E0	-1,420050025E0	6,283050060E0	8,182950020E0
3,424373233E0	-1,434000015E0	6,055050373E0	8,596950531E0
3,444536923E0	-1,045950055E0	5,833050251E0	9,174000740E0
3,464700535E0	-2,800500095E-1	5,476050377E0	9,196050644E0
3,484864231E0	4,939500093E-1	5,320050240E0	8,257050514E0
3,505027659E0	3,250500262E-1	5,428050041E0	8,204999924E0
3,525191275E0	1,450500041E-1	5,481000423E0	7,675950527E0
3,545354976E0	-1,960500032E-1	5,823000431E0	7,351950169E0
3,565518433E0	-7,519500256E-1	5,976000309E0	7,338000298E0
3,585682047E0	-1,288050056E0	6,237000465E0	7,494000435E0
3,605845495E0	-1,759950042E0	6,297000408E0	8,086950302E0
3,626009187E0	-1,264050007E0	5,694000244E0	8,820000648E0
3,646172809E0	-3,930000067E-1	5,344050407E0	9,121950150E0
3,666336259E0	4,750500321E-1	5,052000046E0	9,253050804E0
3,686499954E0	9,570000172E-1	5,104950428E0	8,640000343E0
3,706663581E0	8,320500255E-1	5,689050198E0	7,714050293E0
3,726827050E0	1,930500120E-1	5,959050179E0	7,531950474E0
3,746990740E0	-5,989500284E-1	6,333000183E0	7,630050182E0
3,767154355E0	-8,689500690E-1	6,010050297E0	8,077950478E0
3,787317802E0	-6,370500326E-1	5,389950275E0	8,154000282E0
3,807481417E0	-1,650000066E-1	4,827000141E0	7,957950592E0
3,827644891E0	2,220000178E-1	4,777050018E0	7,644000530E0
3,847808573E0	6,139500141E-1	5,016000271E0	6,952950478E0
3,867972197E0	6,190500259E-1	5,430000305E0	6,085950375E0
3,888135908E0	6,550500393E-1	6,072000504E0	5,169000149E0
3,908299358E0	6,640500426E-1	6,709050179E0	4,375950336E0
3,928462985E0	-2,320500165E-1	7,195050240E0	5,028000355E0
3,948626691E0	-9,720000625E-1	7,306950569E0	7,350000381E0
3,968790163E0	-9,340500236E-1	6,289950371E0	1,033605003E1
3,988953773E0	-1,459500045E-1	5,172000408E0	1,263405037E1
4,009117223E0	9,829500318E-1	4,675950050E0	1,223400021E1
4,029280847E0	1,162950039E0	5,101950169E0	1,006500053E1
4,049444290E0	7,000500560E-1	5,374950409E0	8,698050499E0
4,069608206E0	-7,905000448E-2	5,727000237E0	7,714050293E0
4,089771668E0	-7,710000277E-1	5,755950451E0	6,976050377E0
4,109935264E0	-5,820000172E-1	5,617050171E0	6,118950367E0
4,130098733E0	-5,805000290E-2	5,398950100E0	5,638050079E0
4,150262334E0	3,049500287E-1	5,377950191E0	5,415000439E0
4,170426027E0	4,609500170E-1	5,590950489E0	5,973000050E0
4,190589492E0	6,859500408E-1	5,818050385E0	6,579000473E0
4,210753099E0	9,349500537E-1	5,763000488E0	7,210950375E0
4,230916803E0	6,360000372E-1	6,049950123E0	7,872000217E0
4,251080267E0	-3,019500077E-1	6,187050343E0	8,959050179E0
4,271243872E0	-1,386000037E0	5,356050491E0	1,121895027E1
4,291407543E0	-1,216050029E0	4,531949997E0	1,207605076E1
4,311570991E0	3,495000303E-2	3,766050100E0	1,047195053E1
4,331734589E0	5,850000381E-1	3,876000166E0	8,197950363E0
4,351898289E0	8,080500364E-1	4,618950367E0	6,415950298E0
4,372061750E0	4,590000212E-1	5,818050385E0	5,323950291E0
4,392225380E0	1,450500041E-1	6,880950451E0	4,579950333E0
4,412388853E0	-6,730500460E-1	7,594950199E0	4,692000389E0
4,432552536E0	-2,308050156E0	8,092950821E0	6,306000233E0
4,452716231E0	-2,839950085E0	7,747950554E0	8,431950569E0
4,472879843E0	-2,377950191E0	7,240050316E0	9,502050400E0
4,493043315E0	-1,408050060E0	6,462000370E0	1,003395081E1
4,513206925E0	-1,006049991E0	5,859000206E0	1,027305031E1
4,533370618E0	-1,006049991E0	5,458950043E0	1,049400043E1
4,553534069E0	-8,910000324E-1	5,064000130E0	9,874050140E0
4,573697770E0	-7,810500264E-1	4,851000309E0	8,380050659E0
4,593861165E0	-6,709500551E-1	4,602000237E0	7,065000534E0
4,614024866E0	-6,150000095E-1	4,984950066E0	6,150000095E0
4,634188488E0	-2,595000155E-2	5,587950230E0	5,161950111E0
4,654351940E0	4,369500279E-1	6,361950397E0	4,792950153E0
4,674515630E0	4,680000246E-1	6,832950115E0	4,740000248E0
4,694679243E0	-7,759500146E-1	7,080000401E0	6,534000397E0
4,714843010E0	-2,761050224E0	7,324050426E0	9,708000183E0
4,735006640E0	-3,141000032E0	6,988950253E0	1,138005066E1
4,755170029E0	-1,759950042E0	6,205950260E0	1,044105053E1
4,775333745E0	-7,300500274E-1	5,574000359E0	8,868000031E0
4,795497192E0	-7,380000353E-1	5,667000294E0	8,107049942E0
4,815660898E0	-5,989500284E-1	5,446950436E0	7,615950584E0
4,835824293E0	7,500000298E-2	4,804950237E0	6,832950115E0
4,855987975E0	4,830000103E-1	4,783950329E0	5,830050468E0
4,876151593E0	2,689500153E-1	5,113950253E0	5,791050434E0
4,896315054E0	2,340000123E-1	5,859000206E0	5,787000179E0
4,916478713E0	4,750500321E-1	6,823950291E0	5,202000141E0
4,936642331E0	2,530499995E-1	6,994050503E0	5,226000309E0
4,956805819E0	-9,870000482E-1	6,739950180E0	7,543950558E0
4,976969740E0	-2,409000158E0	6,181950092E0	1,152300072E1
4,997133114E0	-1,966050148E0	5,623950481E0	1,265295029E1
5,017296798E0	-4,960500300E-1	5,196000099E0	1,075500011E1
5,037460270E0	7,095000148E-2	4,918050289E0	9,160050392E0
5,057623903E0	1,620000005E-1	4,882050037E0	8,607000351E0
5,077787595E0	-1,695000008E-2	4,858050346E0	8,146950722E0
5,097951072E0	-2,629500031E-1	4,912950039E0	7,576950550E0
5,118114773E0	-6,780000329E-1	5,068950176E0	7,683000565E0
5,138278375E0	-5,820000172E-1	5,232000351E0	7,561050415E0
5,158441828E0	-1,609500051E-1	5,217000484E0	7,126950264E0
5,178605520E0	-3,690000176E-1	5,373000145E0	7,120050430E0
5,198769140E0	-1,045950055E0	5,385000229E0	8,257050514E0
5,218932635E0	-1,570950031E0	5,365950108E0	9,322950363E0
5,239096296E0	-9,409500360E-1	5,044950008E0	9,676950455E0
5,259259966E0	-2,110500038E-1	4,791000366E0	9,382950783E0
5,279423433E0	-5,805000290E-2	4,669050217E0	9,720000267E0
5,299587064E0	4,005000368E-2	4,729050159E0	9,778050423E0
5,319750770E0	3,150000274E-1	4,755000114E0	8,772000313E0
5,339914252E0	2,620500028E-1	4,900950432E0	7,965000153E0
5,360077932E0	-1,630500108E-1	4,765050411E0	8,128050804E0
5,380241523E0	-7,500000596E-1	4,408050060E0	9,040050507E0
5,400404959E0	-9,120000601E-1	4,252050400E0	9,244050026E0
5,420568588E0	-5,029500127E-1	4,564050198E0	8,538000107E0
5,440732259E0	-2,869500220E-1	5,232000351E0	7,090950489E0
5,460895701E0	-7,695000619E-2	5,823000431E0	5,703000069E0
5,481059384E0	-4,530000091E-1	6,361950397E0	5,533050060E0
5,501222751E0	-1,276050091E0	6,627000332E0	6,169950485E0
5,521386683E0	-2,758050203E0	6,486000538E0	8,164050102E0
5,541550155E0	-3,465000153E0	6,022050381E0	1,115400028E1
5,561713770E0	-1,771950126E0	4,813050270E0	1,139400101E1
5,581877185E0	1,469999999E-1	4,398000240E0	9,397050858E0
5,602040880E0	4,800000191E-1	4,591950417E0	7,810050488E0
5,622204578E0	-1,990500093E-1	5,083050251E0	7,273050308E0
5,642368203E0	-9,460500479E-1	5,109000206E0	7,230000496E0
5,662531676E0	-1,317000031E0	4,924950123E0	7,612950325E0
5,682695356E0	-1,175999999E0	4,549050331E0	8,434950829E0
5,702858986E0	2,620500028E-1	4,125000000E0	8,025000572E0
5,723022443E0	1,234050035E0	4,315050125E0	7,222950459E0
5,743186149E0	9,610500336E-1	4,594950199E0	7,597050190E0
5,763349765E0	2,340000123E-1	4,834050179E0	8,929950714E0
5,783513423E0	-4,789500237E-1	5,068950176E0	9,936000824E0
5,803676889E0	-6,780000329E-1	5,038050175E0	1,009095001E1
5,823840519E0	-7,590000629E-1	5,080950260E0	9,715950012E0
5,844004000E0	-1,305000067E0	5,035050392E0	1,006305027E1
5,864167602E0	-1,140000105E0	4,867950439E0	1,020195007E1
5,884331060E0	-3,570000231E-1	4,606950283E0	9,036000252E0
5,904494740E0	4,395000264E-2	4,554000378E0	7,630050182E0
5,924658403E0	-5,359500051E-1	4,900950432E0	7,168050289E0
5,944822009E0	-1,104000092E0	5,014050007E0	7,395000458E0
5,964985470E0	-1,384050012E0	4,908000469E0	7,410000324E0
5,985149079E0	-1,003050089E0	4,336050034E0	7,941000462E0
6,005312769E0	-4,549500346E-1	3,984000206E0	8,803050041E0
6,025476242E0	-7,905000448E-2	4,019999981E0	8,686050415E0
6,045639862E0	-5,940000415E-1	4,968000412E0	8,044050217E0
6,065803553E0	-8,550000191E-1	5,587950230E0	7,873950481E0
6,085967028E0	-3,979500234E-1	5,811000347E0	7,435950279E0
6,106130740E0	-3,259500265E-1	6,295050144E0	7,008000374E0
6,126294350E0	-1,252050042E0	6,685050488E0	8,169000626E0
6,146457810E0	-2,217000008E0	6,534000397E0	9,964950562E0
6,166621420E0	-2,434950113E0	5,476050377E0	1,210695076E1
6,186785107E0	-1,330950022E0	4,417950153E0	1,231800079E1
6,206948557E0	-1,009500027E-1	3,898050070E0	1,017495060E1
6,227112160E0	2,239500135E-1	4,212000370E0	7,933950424E0
6,247275933E0	2,809500098E-1	4,663950443E0	6,130950451E0
6,267439326E0	-1,650000066E-1	5,326950073E0	5,314950466E0
6,287602949E0	-8,910000324E-1	5,758050442E0	5,299950123E0
6,307766629E0	-1,402950048E0	5,749050140E0	5,739000320E0
6,327930098E0	-1,762050033E0	5,281950474E0	7,165950298E0
6,348094024E0	-1,437000036E0	4,645050049E0	8,557050705E0
6,368257417E0	-5,440500379E-1	4,105950356E0	9,316050529E0
6,388420896E0	4,039500058E-1	3,831000090E0	9,186000824E0
6,408584511E0	5,260500312E-1	4,281000137E0	8,808000565E0
6,428748226E0	1,995000057E-2	4,924950123E0	8,746050835E0
6,448911903E0	-7,350000143E-1	5,373000145E0	9,127050400E0
6,469075375E0	-1,438950062E0	5,497050285E0	9,868950844E0
6,489239019E0	-1,654950023E0	5,064000130E0	1,064895058E1
6,509402483E0	-1,329000115E0	4,312050343E0	1,094595051E1
6,529566139E0	-3,900000155E-1	3,876000166E0	9,768000603E0
6,549729750E0	6,310500503E-1	3,946050167E0	8,419950485E0
6,569893428E0	1,447050095E0	4,486950397E0	6,222000122E0
6,590056875E0	1,186050057E0	5,248050213E0	4,945950031E0
6,610220481E0	-2,059500068E-1	5,952000141E0	5,311950207E0
6,630383901E0	-2,101950169E0	6,337950230E0	7,017000198E0
6,650547591E0	-3,373950243E0	5,875950336E0	9,648000717E0
6,670711177E0	-3,225000143E0	4,614000320E0	1,216200066E1
6,690874636E0	-9,990000725E-1	3,667950153E0	1,176705074E1
6,711038355E0	5,689499974E-1	3,630000114E0	9,358950615E0
6,731202067E0	7,480500340E-1	4,200000286E0	7,066950321E0
6,751365711E0	7,950000465E-3	5,077950478E0	6,652950287E0
6,771529178E0	-1,140000105E0	5,674950123E0	8,071050644E0
6,791692819E0	-1,339050055E0	5,856000423E0	8,590050697E0
6,811856514E0	-1,458000064E0	5,737050056E0	8,590050697E0
6,832019992E0	-1,578000069E0	5,527950287E0	9,459000587E0
6,852183634E0	-1,209000111E0	5,164950371E0	1,043595028E1
6,872347112E0	-3,229500055E-1	4,722000122E0	9,840000153E0
6,892510799E0	8,295000345E-2	4,223999977E0	9,079050064E0
6,912674406E0	-4,650000334E-1	4,306950092E0	9,129000664E0
6,932838093E0	-3,520500064E-1	4,579950333E0	8,329050064E0
6,953001541E0	-1,319999993E-1	5,047050476E0	6,972000122E0
6,973165229E0	-3,469500244E-1	5,554950237E0	6,000000477E0
6,993328830E0	-8,620500565E-1	5,976000309E0	6,115050316E0
7,013492277E0	-1,611000061E0	5,956950188E0	7,363950253E0
7,033655893E0	-2,131050110E0	5,253000259E0	9,411000252E0
7,053819585E0	-1,633050084E0	4,450950146E0	1,139595032E1
7,073983265E0	-5,389500260E-1	4,129950047E0	1,043895054E1
7,094146741E0	9,705000371E-2	4,509000301E0	7,920000553E0
7,114310344E0	-4,620000124E-1	4,792950153E0	7,494000435E0
7,134473783E0	-1,365000010E0	4,954050064E0	8,928000450E0
7,154637461E0	-1,887000084E0	4,884000301E0	9,627000809E0
7,174801145E0	-1,165950060E0	4,983000278E0	8,359950066E0
7,194964531E0	1,095000096E-2	4,942050457E0	6,865950108E0
7,215128222E0	8,295000345E-2	5,317950249E0	6,289050102E0
7,235291842E0	-5,749500394E-1	5,713050365E0	6,553050518E0
7,255455329E0	-1,414950013E0	5,629050255E0	7,932000160E0
7,275618976E0	-2,065950155E0	5,386950493E0	9,499950409E0
7,295782606E0	-2,062050104E0	5,053950310E0	1,054395008E1
