"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
3,081947057E0	2,760000038E1	3,300000000E1	-4,625625229E1
3,102098565E0	2,754375076E1	3,300000000E1	-4,661250305E1
3,122245714E0	2,735625076E1	3,300000000E1	-4,661250305E1
3,142352503E0	2,718750191E1	3,288750076E1	-4,668750000E1
3,162434789E0	2,700000191E1	3,288750076E1	-4,698750305E1
3,182483265E0	2,675625038E1	3,281250000E1	-4,721250153E1
3,202518081E0	2,675625038E1	3,311250305E1	-4,740000153E1
3,222533364E0	2,670000076E1	3,318750000E1	-4,715625000E1
3,242533499E0	2,688750076E1	3,318750000E1	-4,758750153E1
3,262533847E0	2,670000076E1	3,311250305E1	-4,751250076E1
3,282524184E0	2,645625114E1	3,275625229E1	-4,751250076E1
3,302508131E0	2,664375114E1	3,251250076E1	-4,770000076E1
3,322501853E0	2,664375114E1	3,251250076E1	-4,758750153E1
3,342489882E0	2,675625038E1	3,245625305E1	-4,758750153E1
3,362474960E0	2,675625038E1	3,228750229E1	-4,740000153E1
3,382471159E0	2,705625153E1	3,221250153E1	-4,721250153E1
3,402464067E0	2,664375114E1	3,191250038E1	-4,691250229E1
3,422220257E0	2,700000191E1	3,185625076E1	-4,661250305E1
3,442274510E0	2,754375076E1	3,198750114E1	-4,661250305E1
3,462319136E0	2,778750038E1	3,210000229E1	-4,631250000E1
3,482353519E0	2,778750038E1	3,191250038E1	-4,631250000E1
3,502389139E0	2,784375191E1	3,198750114E1	-4,595625305E1
3,522413130E0	2,778750038E1	3,155625153E1	-4,608750153E1
3,542438397E0	2,765625191E1	3,125625038E1	-4,638750076E1
3,562452094E0	2,795625114E1	3,120000076E1	-4,625625229E1
3,582457480E0	2,784375191E1	3,078750038E1	-4,638750076E1
3,602467072E0	2,760000038E1	3,048750114E1	-4,608750153E1
3,622470329E0	2,748750114E1	3,018750191E1	-4,601250076E1
3,642466000E0	2,754375076E1	2,988750076E1	-4,595625305E1
3,662469625E0	2,748750114E1	2,940000153E1	-4,595625305E1
3,682465900E0	2,754375076E1	2,951250076E1	-4,565625000E1
3,702459061E0	2,730000114E1	2,940000153E1	-4,535625076E1
3,722461305E0	2,718750191E1	2,928750038E1	-4,541250229E1
3,742223348E0	2,718750191E1	2,945625114E1	-4,500000000E1
3,762282279E0	2,705625153E1	2,951250076E1	-4,518750000E1
3,782329403E0	2,735625076E1	2,940000153E1	-4,500000000E1
3,802365222E0	2,730000114E1	2,928750038E1	-4,505625153E1
3,822401671E0	2,748750114E1	2,921250153E1	-4,511250305E1
3,842425600E0	2,760000038E1	2,880000114E1	-4,505625153E1
3,862438790E0	2,790000153E1	2,838750076E1	-4,500000000E1
3,882456528E0	2,784375191E1	2,801250076E1	-4,481250000E1
3,902464461E0	2,778750038E1	2,760000038E1	-4,500000000E1
3,922462816E0	2,760000038E1	2,718750191E1	-4,488750076E1
3,942467940E0	2,730000114E1	2,700000191E1	-4,511250305E1
3,962466230E0	2,748750114E1	2,681250191E1	-4,505625153E1
3,982461675E0	2,730000114E1	2,688750076E1	-4,511250305E1
4,002463829E0	2,700000191E1	2,718750191E1	-4,518750000E1
4,022460765E0	2,705625153E1	2,760000038E1	-4,535625076E1
4,042463720E0	2,705625153E1	2,790000153E1	-4,560000229E1
4,062462356E0	2,718750191E1	2,825625038E1	-4,541250229E1
4,082456597E0	2,724375153E1	2,850000191E1	-4,530000305E1
4,102459452E0	2,754375076E1	2,898750114E1	-4,530000305E1
4,122493058E0	2,718750191E1	2,891250038E1	-4,511250305E1
4,142547478E0	2,724375153E1	2,885625076E1	-4,488750076E1
4,162526934E0	2,724375153E1	2,880000114E1	-4,488750076E1
4,182270880E0	2,694375038E1	2,880000114E1	-4,475625229E1
4,202069031E0	2,705625153E1	2,885625076E1	-4,500000000E1
4,221927805E0	2,700000191E1	2,880000114E1	-4,541250229E1
4,241871506E0	2,705625153E1	2,891250038E1	-4,578750229E1
4,261802270E0	2,718750191E1	2,921250153E1	-4,578750229E1
4,281800949E0	2,765625191E1	2,975625038E1	-4,571250153E1
4,301873408E0	2,790000153E1	3,018750191E1	-4,590000153E1
4,322001373E0	2,838750076E1	3,065625191E1	-4,590000153E1
4,342168547E0	2,880000114E1	3,065625191E1	-4,571250153E1
4,362293434E0	2,910000038E1	3,078750038E1	-4,530000305E1
4,382391296E0	2,964375114E1	3,108750153E1	-4,475625229E1
4,402453686E0	2,994375038E1	3,108750153E1	-4,410000229E1
4,422489546E0	2,988750076E1	3,071250153E1	-4,385625076E1
4,442516715E0	3,030000114E1	3,065625191E1	-4,385625076E1
4,462523803E0	3,035625076E1	3,041250038E1	-4,361250305E1
4,482529662E0	3,084375191E1	3,035625076E1	-4,361250305E1
4,502524863E0	3,108750153E1	3,065625191E1	-4,355625153E1
4,522513932E0	3,120000076E1	3,095625114E1	-4,320000076E1
4,542508185E0	3,120000076E1	3,120000076E1	-4,320000076E1
4,562496471E0	3,125625038E1	3,155625153E1	-4,325625229E1
4,582481688E0	3,168750191E1	3,191250038E1	-4,331250000E1
4,602477057E0	3,144375038E1	3,210000229E1	-4,308750153E1
4,622469584E0	3,155625153E1	3,245625305E1	-4,320000076E1
4,642459382E0	3,120000076E1	3,251250076E1	-4,295625305E1
4,662458165E0	3,095625114E1	3,228750229E1	-4,290000153E1
4,682453358E0	3,078750038E1	3,221250153E1	-4,320000076E1
4,702447234E0	3,060000038E1	3,210000229E1	-4,331250000E1
4,722449029E0	3,090000153E1	3,221250153E1	-4,350000000E1
4,742446844E0	3,078750038E1	3,215625000E1	-4,350000000E1
4,762452334E0	3,084375191E1	3,240000153E1	-4,380000305E1
4,782453110E0	3,078750038E1	3,228750229E1	-4,380000305E1
4,802449365E0	3,078750038E1	3,270000076E1	-4,385625076E1
4,822455078E0	3,078750038E1	3,311250305E1	-4,445625305E1
4,842455076E0	3,084375191E1	3,330000305E1	-4,451250076E1
4,862451152E0	3,084375191E1	3,335625076E1	-4,470000076E1
4,882454803E0	3,048750114E1	3,311250305E1	-4,500000000E1
4,902453267E0	3,024375153E1	3,318750000E1	-4,518750000E1
4,922448725E0	2,970000076E1	3,311250305E1	-4,541250229E1
4,942453990E0	2,928750038E1	3,330000305E1	-4,595625305E1
4,962454223E0	2,915625191E1	3,330000305E1	-4,625625229E1
4,982450144E0	2,904375076E1	3,341250229E1	-4,608750153E1
5,002454224E0	2,880000114E1	3,365625000E1	-4,631250000E1
5,022453473E0	2,850000191E1	3,395625305E1	-4,625625229E1
5,042458903E0	2,844375038E1	3,431250000E1	-4,631250000E1
5,062224468E0	2,825625038E1	3,468750000E1	-4,668750000E1
5,082273903E0	2,844375038E1	3,498750305E1	-4,691250229E1
5,102327114E0	2,874375153E1	3,528750229E1	-4,668750000E1
5,122132848E0	2,868750191E1	3,540000153E1	-4,668750000E1
5,142215246E0	2,885625076E1	3,558750153E1	-4,680000305E1
5,162293620E0	2,885625076E1	3,558750153E1	-4,638750076E1
5,182351724E0	2,910000038E1	3,575625229E1	-4,650000000E1
5,202391647E0	2,910000038E1	3,605625153E1	-4,631250000E1
5,222428814E0	2,904375076E1	3,611250305E1	-4,608750153E1
5,242450203E0	2,915625191E1	3,630000305E1	-4,601250076E1
5,262459401E0	2,910000038E1	3,635625076E1	-4,608750153E1
5,282470524E0	2,898750114E1	3,660000229E1	-4,620000076E1
5,302473142E0	2,880000114E1	3,660000229E1	-4,625625229E1
5,322480133E0	2,910000038E1	3,690000153E1	-4,650000000E1
5,342478786E0	2,904375076E1	3,690000153E1	-4,650000000E1
5,362494704E0	2,898750114E1	3,671250153E1	-4,661250305E1
5,382602090E0	2,928750038E1	3,660000229E1	-4,655625153E1
