"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3,071510665E0	-1,095874980E-1	-2,928749919E-1	1,924999990E-3
3,091674356E0	-2,763750032E-2	-1,556500047E-1	1,795749962E-1
3,111837807E0	2,241249941E-2	-5,128749833E-2	2,850374877E-1
3,132001410E0	3,932499886E-2	-3,011249937E-2	3,306874931E-1
3,152165086E0	-2,447500080E-2	-7,686249912E-2	2,689499855E-1
3,172328574E0	-1,160499975E-1	-9,817499667E-2	1,072499976E-1
3,192492189E0	-1,149500012E-1	-1,567499936E-1	-7,892499864E-2
3,212655641E0	-2,062499989E-3	-2,173874974E-1	-2,439250052E-1
3,232819323E0	2,054249942E-1	-1,610125005E-1	-1,938749999E-1
3,252983023E0	3,533749878E-1	-1,619749963E-1	-1,375000030E-1
3,273146660E0	4,160749912E-1	-1,875499934E-1	-7,892499864E-2
3,293310039E0	3,821125031E-1	-2,088624984E-1	-5,238749832E-2
3,313473722E0	3,235374987E-1	-1,130250022E-1	-5,238749832E-2
3,333637169E0	2,564375103E-1	8,483749628E-2	-6,943749636E-2
3,353800799E0	1,830125004E-1	3,041499853E-1	-1,460250020E-1
3,373964295E0	1,064250022E-1	5,212625265E-1	-2,194499969E-1
3,394127986E0	2,873750031E-2	6,510624886E-1	-1,363999993E-1
3,414291615E0	-3,506249934E-2	6,095374823E-1	4,344999790E-2
3,434455077E0	-1,032624990E-1	3,860999942E-1	1,912624985E-1
3,454618745E0	-1,043625027E-1	4,331250116E-2	2,594625056E-1
3,474782385E0	-6,324999966E-3	-2,769249976E-1	2,083124965E-1
3,494945843E0	1,574375033E-1	-2,194499969E-1	9,982500225E-2
3,515109431E0	3,926999867E-1	-3,849999979E-2	7,149999961E-3
3,535273121E0	5,278624892E-1	1,636250019E-1	-5,664999783E-2
3,555436594E0	4,820750058E-1	2,967250049E-1	-6,517499685E-2
3,575600198E0	2,958999872E-1	3,169375062E-1	-1,196249947E-2
3,595763651E0	-3,162499983E-3	2,327875048E-1	9,666249901E-2
3,615927345E0	-2,681249976E-1	5,939999968E-2	2,870999873E-1
3,636091033E0	-3,852750063E-1	-1,801249981E-1	3,818374872E-1
3,656254410E0	-3,224374950E-1	-3,152875006E-1	3,722124994E-1
3,676418336E0	-8,401250094E-2	-3,525500000E-1	2,711499929E-1
3,696581721E0	1,926375031E-1	-1,981374919E-1	1,040875018E-1
3,716745432E0	4,288625121E-1	1,539999992E-1	6,888750196E-2
3,736908894E0	4,800125062E-1	4,274874926E-1	6,256250292E-2
3,757072511E0	3,830749989E-1	5,094375014E-1	1,764124930E-1
3,777235973E0	2,512125075E-1	2,924624979E-1	2,945249975E-1
3,797399573E0	1,639000028E-1	-4,812499881E-2	3,243624866E-1
3,817563274E0	1,904374957E-1	-3,045625091E-1	2,540999949E-1
3,837726966E0	3,671250045E-1	-3,779875040E-1	1,658249944E-1
3,857890356E0	5,693874955E-1	-2,919124961E-1	7,851249725E-2
3,878054057E0	6,502375007E-1	-8,428750187E-2	3,918749839E-2
3,898217754E0	3,724874854E-1	1,787500083E-2	7,287499961E-3
3,918381134E0	-3,607999980E-1	-7,150000334E-2	-8,002500236E-2
3,938544845E0	-1,167374969E0	-8,648750186E-2	-5,555000156E-2
3,958708309E0	-1,552649975E0	1,328250021E-1	1,189374998E-1
3,978871929E0	-1,414324999E0	3,338499963E-1	2,679874897E-1
3,999035615E0	-8,321499825E-1	2,179374993E-1	2,051499933E-1
4,019199081E0	-1,245749965E-1	3,492499888E-2	-6,201250106E-2
4,039362678E0	3,500750065E-1	4,441250116E-2	-3,238124847E-1
4,059526134E0	6,396499872E-1	1,328250021E-1	-4,908750057E-1
4,079689834E0	7,737125158E-1	1,880999953E-1	-4,993999898E-1
4,099853434E0	7,342500091E-1	9,652499855E-2	-3,684999943E-1
4,120017115E0	4,800125062E-1	-1,289750040E-1	-2,481874973E-1
4,140180572E0	1,319999993E-1	-3,833499849E-1	-1,971749961E-1
4,160344255E0	-1,852124929E-1	-4,376625121E-1	-1,896124929E-1
4,180507875E0	-3,810124993E-1	-3,546124995E-1	-1,790249944E-1
4,200671322E0	-4,820750058E-1	-1,727000028E-1	-1,534499973E-1
4,220834952E0	-5,171374679E-1	1,434125006E-1	-1,971749961E-1
4,240998649E0	-6,226000190E-1	5,583875179E-1	-2,780250013E-1
4,261162097E0	-6,353874803E-1	9,926124811E-1	-2,088624984E-1
4,281325702E0	-4,214375019E-1	9,851874709E-1	-1,545500010E-1
4,301489161E0	1,106875017E-1	6,126999855E-1	-1,194875017E-1
4,321652837E0	6,917625070E-1	3,019500077E-1	-2,428250015E-1
4,341816448E0	1,000312448E0	6,778749824E-2	-4,684624970E-1
4,361979906E0	1,097249985E0	8,249999955E-3	-6,685249805E-1
4,382143522E0	1,013100028E0	6,888750196E-2	-7,536374927E-1
4,402307303E0	7,077124715E-1	2,444749922E-1	-7,249000072E-1
4,422470928E0	2,628999949E-1	5,296499729E-1	-6,143500209E-1
4,442634380E0	-2,171124965E-1	6,861249804E-1	-3,449875116E-1
4,462798077E0	-6,353874803E-1	3,679499924E-1	-1,033999994E-1
4,482961688E0	-9,641500115E-1	-1,630750000E-1	4,771250114E-2
4,503125390E0	-1,048300028E0	-4,993999898E-1	2,846249938E-2
4,523288847E0	-8,130375147E-1	-4,749250114E-1	-6,297499686E-2
4,543452462E0	-2,734875083E-1	-2,311374992E-1	-1,098624989E-1
4,563615914E0	3,224374950E-1	-7,576250285E-2	-1,619749963E-1
4,583779625E0	6,565625072E-1	-7,796250284E-2	-2,162874937E-1
4,603943020E0	7,694500089E-1	-2,290749997E-1	-2,950749993E-1
4,624106717E0	6,969875097E-1	-4,738250077E-1	-3,110249937E-1
4,644270317E0	5,246999860E-1	-6,164125204E-1	-3,258749843E-1
4,664433784E0	2,447499931E-1	-5,631999969E-1	-3,460874856E-1
4,684597452E0	-8,511249721E-2	-2,056999952E-1	-3,939374983E-1
4,704761087E0	-3,139125109E-1	3,764750063E-1	-3,779875040E-1
4,724924560E0	-3,491125107E-1	6,095374823E-1	-1,929125041E-1
4,745088262E0	-2,809124887E-1	1,487749964E-1	6,036249921E-2
4,765251899E0	-3,383874893E-1	-5,249750018E-1	9,129999578E-2
4,785415363E0	-3,331624866E-1	-7,324625254E-1	-2,901249938E-2
4,805579042E0	-9,047500044E-2	-4,962374866E-1	-3,533750027E-2
4,825742434E0	2,447499931E-1	-2,492875010E-1	3,588749841E-2
4,845906134E0	4,075500071E-1	-2,620750070E-1	-2,997500077E-2
4,866069821E0	3,246375024E-1	-3,535124958E-1	-1,875499934E-1
4,886233437E0	1,531749964E-1	-4,812499881E-1	-2,748624980E-1
4,906397110E0	3,299999982E-2	-4,844124913E-1	-2,567124963E-1
4,926560485E0	-1,841125041E-1	-2,268749923E-1	-1,608749926E-1
4,946724196E0	-5,671874881E-1	2,583625019E-1	-7,259999961E-2
4,966887663E0	-9,057124853E-1	6,723750234E-1	-9,762499481E-3
4,987051280E0	-9,609875083E-1	4,148375094E-1	1,178374961E-1
5,007214961E0	-7,396125197E-1	-1,821874976E-1	2,253624946E-1
5,027378644E0	-4,661250114E-1	-3,067624867E-1	1,827374995E-1
5,047542062E0	-2,245374918E-1	-9,391249716E-2	8,057499677E-2
5,067705749E0	3,506249934E-2	1,604624987E-1	1,361249946E-2
5,087869228E0	2,128500044E-1	2,700499892E-1	-1,938750036E-2
5,108032932E0	2,299000025E-1	2,583625019E-1	-3,217500076E-2
5,128196544E0	1,394249946E-1	1,243000031E-1	5,087499972E-3
5,148360221E0	3,726249933E-2	-4,276249930E-2	5,293750018E-2
5,168523658E0	-1,084875017E-1	-7,576250285E-2	3,808749840E-2
5,188687291E0	-2,660624981E-1	7,741250098E-2	3,272499889E-2
5,208850757E0	-3,405874968E-1	2,094125003E-1	9,556250274E-2
5,229014501E0	-3,565374911E-1	1,146750003E-1	2,051499933E-1
5,249178125E0	-3,639625013E-1	-1,439625025E-1	2,296250015E-1
5,269341584E0	-3,469125032E-1	-2,418625057E-1	1,254000068E-1
5,289505279E0	-2,085874975E-1	-2,268749923E-1	9,349999949E-3
5,309668929E0	3,932499886E-2	-2,035000026E-1	-7,686249912E-2
5,329832621E0	2,202749997E-1	-1,024374962E-1	-1,513874978E-1
5,349996081E0	2,043250054E-1	5,087500066E-2	-1,960749924E-1
5,370159699E0	1,010624990E-1	1,126125008E-1	-2,088624984E-1
5,390323345E0	1,223749965E-1	2,213750035E-2	-2,216500044E-1
5,410486827E0	3,107500076E-1	-1,322750002E-1	-2,248124927E-1
5,430650422E0	5,565999746E-1	-2,099625021E-1	-2,353999913E-1
5,450813862E0	6,725124717E-1	-8,112499863E-2	-2,226125002E-1
5,470977523E0	5,438125134E-1	2,040500045E-1	-2,014375031E-1
5,491141151E0	1,766874939E-1	3,903625011E-1	-1,704999954E-1
5,511304606E0	-2,968625128E-1	4,690124989E-1	-8,648750186E-2
5,531468311E0	-6,767749786E-1	4,190999866E-1	1,029874980E-1
5,551631926E0	-6,863999963E-1	-5,128749833E-2	3,903625011E-1
5,571795596E0	-4,257000089E-1	-6,323624849E-1	4,563624859E-1
5,591959034E0	-1,234750003E-1	-7,057874799E-1	2,402125001E-1
5,612122656E0	1,075249985E-1	-3,492499888E-1	1,897500083E-2
5,632286359E0	2,543750107E-1	1,200374961E-1	-3,849999979E-2
5,652450058E0	2,011625022E-1	3,179000020E-1	2,213750035E-2
5,672613433E0	-5,857500061E-2	1,551000029E-1	1,220999956E-1
5,692777142E0	-2,947999835E-1	-3,429250121E-1	2,062499970E-1
5,712940599E0	-4,384875000E-1	-7,441499829E-1	1,380500048E-1
5,733104303E0	-5,224999785E-1	-6,462500095E-1	-4,386249930E-2
5,753267921E0	-4,564999938E-1	-1,322750002E-1	-1,769624949E-1
5,773431596E0	-2,310000062E-1	3,838999867E-1	-2,098249942E-1
5,793595054E0	-5,362499971E-3	5,446375012E-1	-1,641750038E-1
5,813758660E0	5,431250110E-2	3,764750063E-1	-1,406625062E-1
5,833922141E0	-8,084999770E-2	7,204999775E-2	-1,694000065E-1
5,854085841E0	-1,436875015E-1	-2,003374994E-1	-1,502874941E-1
5,874249523E0	6,283749640E-2	-3,493874967E-1	-9,501250088E-2
5,894412908E0	3,075875044E-1	-3,418250084E-1	-1,130250022E-1
5,914576487E0	4,277625084E-1	-1,269125044E-1	-1,832875013E-1
5,934740151E0	3,821125031E-1	8,167500049E-2	-1,715999991E-1
5,954903626E0	2,245374918E-1	9,226249903E-2	-7,369999588E-2
5,975067552E0	3,299999982E-2	4,331250116E-2	4,441250116E-2
5,995230927E0	-9,157499671E-2	-5,128749833E-2	7,424999774E-2
6,015394615E0	-3,932499886E-2	-1,992374957E-1	-2,364999987E-2
6,035558086E0	1,362625062E-1	-2,046000063E-1	-1,727000028E-1
6,055721720E0	2,501125038E-1	-2,337499987E-3	-1,896124929E-1
6,075885175E0	2,671625018E-1	1,454750001E-1	-9,913749993E-2
6,096048893E0	1,223749965E-1	2,040500045E-1	-7,150000334E-2
6,116212511E0	-2,256374955E-1	3,360500038E-1	-8,538749814E-2
6,136376196E0	-5,948249698E-1	4,424749911E-1	-1,196249947E-2
6,156539654E0	-8,056125045E-1	3,966875076E-1	1,721500009E-1
6,176703341E0	-6,556000113E-1	4,235000163E-2	3,232625127E-1
6,196866728E0	-1,627999991E-1	-3,546124995E-1	3,009875119E-1
6,217030403E0	3,756499887E-1	-4,675000012E-1	1,220999956E-1
6,237194010E0	7,746750116E-1	-2,684000134E-1	-1,828750037E-2
6,257357487E0	9,120374918E-1	4,235000163E-2	-1,024374962E-1
6,277521177E0	7,683500051E-1	2,604250014E-1	-9,171249717E-2
6,297684783E0	4,288625121E-1	3,253250122E-1	2,529999986E-2
6,317848480E0	-1,814999990E-2	2,891624868E-1	1,700875014E-1
6,338011870E0	-3,702875078E-1	1,891999990E-1	3,158375025E-1
6,358175573E0	-5,235999823E-1	-2,584999986E-2	3,988874853E-1
6,378339260E0	-4,373874962E-1	-2,259124964E-1	3,531000018E-1
6,398502971E0	-2,554749846E-1	-1,843875051E-1	1,508374959E-1
6,418666370E0	-1,212750003E-1	5,183750018E-2	-6,723749638E-2
6,438830057E0	-7,342500240E-2	3,647874892E-1	-1,599124968E-1
6,458993536E0	-1,319999993E-1	5,594875216E-1	-1,417624950E-1
6,479157160E0	-2,723875046E-1	4,892250001E-1	-5,444999784E-2
6,499320865E0	-3,554374874E-1	1,029874980E-1	2,749999985E-2
6,519484312E0	-2,065249979E-1	-3,269749880E-1	4,441250116E-2
6,539647905E0	1,032624990E-1	-5,845124722E-1	-1,938750036E-2
6,559811601E0	4,809750021E-1	-6,280999780E-1	-1,566125005E-1
6,579975045E0	6,396499872E-1	-3,695999980E-1	-3,535124958E-1
6,600138637E0	4,937624931E-1	1,167374998E-1	-5,142499804E-1
6,620302312E0	1,724250019E-1	6,456999779E-1	-5,057250261E-1
6,640465745E0	-2,000624985E-1	9,809250236E-1	-2,960374951E-1
6,660629348E0	-4,937624931E-1	8,138625026E-1	1,141249947E-2
6,680793023E0	-5,341874957E-1	-4,069999978E-2	2,264624983E-1
6,700956495E0	-3,735874891E-1	-1,030424953E0	1,306249946E-1
6,721120201E0	-1,170125008E-1	-1,273112535E0	-1,545500010E-1
6,741283838E0	1,138499975E-1	-7,143124938E-1	-3,993000090E-1
6,761447323E0	2,681249976E-1	2,668874860E-1	-4,547125101E-1
6,781611024E0	3,309625089E-1	7,669749856E-1	-3,460874856E-1
6,801774668E0	1,787499934E-1	6,818624735E-1	-2,140875012E-1
6,821938361E0	-2,267374992E-1	2,763749957E-1	-1,311749965E-1
