"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
5,983373223E0	-1,451250076E1	-2,141250038E1	-5,178750229E1
6,003369741E0	-1,451250076E1	-2,100000000E1	-5,195625305E1
6,023439897E0	-1,481250095E1	-2,111250114E1	-5,208750153E1
6,043554674E0	-1,524375057E1	-2,141250038E1	-5,220000076E1
6,063698914E0	-1,571250057E1	-2,154375076E1	-5,190000153E1
6,083816943E0	-1,614375114E1	-2,184375000E1	-5,141250229E1
6,103897575E0	-1,650000000E1	-2,238750076E1	-5,118750381E1
6,123959285E0	-1,680000114E1	-2,268750000E1	-5,111250305E1
6,143997290E0	-1,668750000E1	-2,298750114E1	-5,118750381E1
6,164013289E0	-1,638750076E1	-2,304375076E1	-5,141250229E1
6,184024323E0	-1,590000057E1	-2,304375076E1	-5,148750305E1
6,204022355E0	-1,530000019E1	-2,274375153E1	-5,148750305E1
6,224011324E0	-1,500000095E1	-2,261250114E1	-5,148750305E1
6,244007402E0	-1,464375019E1	-2,261250114E1	-5,178750229E1
6,263996895E0	-1,410000038E1	-2,268750000E1	-5,201250076E1
6,283982616E0	-1,374375057E1	-2,304375076E1	-5,178750229E1
6,303978486E0	-1,338750076E1	-2,358750153E1	-5,165625381E1
6,323969734E0	-1,338750076E1	-2,430000114E1	-5,141250229E1
6,343959530E0	-1,338750076E1	-2,478750038E1	-5,118750381E1
6,363958807E0	-1,284375095E1	-2,550000191E1	-5,135625076E1
6,383954070E0	-1,248750019E1	-2,604375076E1	-5,160000229E1
6,403956688E0	-1,218750095E1	-2,640000153E1	-5,160000229E1
6,423954942E0	-1,181250000E1	-2,651250076E1	-5,141250229E1
6,443950972E0	-1,140000057E1	-2,670000076E1	-5,178750229E1
6,463954770E0	-1,128750038E1	-2,688750076E1	-5,171250153E1
6,483953756E0	-1,098750019E1	-2,688750076E1	-5,178750229E1
6,503948558E0	-1,068750000E1	-2,694375038E1	-5,190000153E1
6,523951598E0	-1,158750057E1	-2,670000076E1	-5,171250153E1
6,543951184E0	-1,170000076E1	-2,670000076E1	-5,160000229E1
6,563947208E0	-1,188750076E1	-2,658750153E1	-5,165625381E1
6,583952008E0	-1,200000000E1	-2,640000153E1	-5,178750229E1
6,603951342E0	-1,218750095E1	-2,610000038E1	-5,165625381E1
6,623956723E0	-1,224375057E1	-2,580000114E1	-5,171250153E1
6,643957807E0	-1,241250038E1	-2,544375038E1	-5,195625305E1
6,663955555E0	-1,241250038E1	-2,508750153E1	-5,220000076E1
6,683961262E0	-1,164375019E1	-2,490000153E1	-5,225625229E1
6,703959160E0	-1,158750057E1	-2,454375076E1	-5,238750076E1
6,723953039E0	-1,134375000E1	-2,418750191E1	-5,231250381E1
6,743956363E0	-1,121250057E1	-2,394375038E1	-5,225625229E1
6,763955408E0	-1,121250057E1	-2,358750153E1	-5,255625153E1
6,783950585E0	-1,104375076E1	-2,328750038E1	-5,280000305E1
6,803720117E0	-1,074375057E1	-2,298750114E1	-5,261250305E1
6,823771889E0	-1,091250038E1	-2,280000114E1	-5,261250305E1
6,843815075E0	-1,110000038E1	-2,244375038E1	-5,285625076E1
6,863860845E0	-1,128750038E1	-2,220000076E1	-5,298750305E1
6,883891942E0	-1,164375019E1	-2,208750153E1	-5,340000153E1
6,903924044E0	-1,164375019E1	-2,208750153E1	-5,340000153E1
6,923943367E0	-1,128750038E1	-2,208750153E1	-5,351250076E1
6,943952508E0	-1,140000057E1	-2,201250076E1	-5,351250076E1
6,963964606E0	-1,164375019E1	-2,184375000E1	-5,351250076E1
6,983967923E0	-1,151250076E1	-2,154375076E1	-5,321250153E1
7,003965046E0	-1,134375000E1	-2,124375153E1	-5,321250153E1
7,023968698E0	-1,128750038E1	-2,088750076E1	-5,321250153E1
7,043967742E0	-1,098750019E1	-2,058750153E1	-5,291250229E1
7,063725809E0	-1,121250057E1	-1,998750114E1	-5,328750229E1
7,083781301E0	-1,151250076E1	-1,944375038E1	-5,315625381E1
7,103826358E0	-1,158750057E1	-1,890000153E1	-5,340000153E1
7,123871957E0	-1,164375019E1	-1,860000038E1	-5,345625305E1
7,143904158E0	-1,158750057E1	-1,860000038E1	-5,370000076E1
7,163936131E0	-1,158750057E1	-1,848750114E1	-5,370000076E1
7,184011649E0	-1,134375000E1	-1,884375000E1	-5,370000076E1
7,203772917E0	-1,164375019E1	-1,908750153E1	-5,388750076E1
7,223636615E0	-1,134375000E1	-1,974375153E1	-5,345625305E1
7,243533004E0	-1,134375000E1	-2,010000038E1	-5,315625381E1
7,263523022E0	-1,121250057E1	-2,040000153E1	-5,315625381E1
7,283588712E0	-1,104375076E1	-2,040000153E1	-5,340000153E1
7,303697104E0	-1,110000038E1	-2,040000153E1	-5,340000153E1
7,323792103E0	-1,098750019E1	-2,081250000E1	-5,351250076E1
7,343859511E0	-1,098750019E1	-2,051250076E1	-5,351250076E1
7,363916047E0	-1,068750000E1	-2,040000153E1	-5,340000153E1
7,383952341E0	-1,091250038E1	-2,010000038E1	-5,358750153E1
7,403981806E0	-1,080000019E1	-2,028750038E1	-5,375625229E1
7,423994639E0	-1,074375057E1	-2,028750038E1	-5,340000153E1
7,443996020E0	-1,074375057E1	-2,064375114E1	-5,340000153E1
7,463999337E0	-1,068750000E1	-2,070000076E1	-5,358750153E1
7,483996276E0	-1,061250019E1	-2,070000076E1	-5,340000153E1
7,503985252E0	-1,038750076E1	-2,070000076E1	-5,358750153E1
7,523982349E0	-9,843750000E0	-2,058750153E1	-5,381250381E1
7,543975814E0	-9,487500191E0	-2,010000038E1	-5,405625153E1
7,563730791E0	-9,243750572E0	-1,974375153E1	-5,441250229E1
7,583783862E0	-8,700000763E0	-1,950000000E1	-5,478750229E1
7,603828395E0	-8,400000572E0	-1,914375114E1	-5,478750229E1
7,623860237E0	-8,343750000E0	-1,884375000E1	-5,448750305E1
7,643895616E0	-8,587500572E0	-1,871250153E1	-5,435625076E1
7,663918007E0	-8,943750381E0	-1,901250076E1	-5,400000381E1
7,683941678E0	-9,543750763E0	-1,938750076E1	-5,388750076E1
7,703954434E0	-1,008750057E1	-1,991250038E1	-5,328750229E1
7,723957194E0	-1,098750019E1	-2,010000038E1	-5,310000229E1
7,743966363E0	-1,194375038E1	-2,040000153E1	-5,298750305E1
7,763967785E0	-1,241250038E1	-2,058750153E1	-5,285625076E1
7,783729036E0	-1,224375057E1	-2,064375114E1	-5,340000153E1
7,803785556E0	-1,200000000E1	-2,040000153E1	-5,381250381E1
7,823831993E0	-1,140000057E1	-1,998750114E1	-5,418750381E1
7,843865885E0	-1,098750019E1	-1,931250000E1	-5,411250305E1
7,863900161E0	-1,038750076E1	-1,871250153E1	-5,448750305E1
7,883923821E0	-9,712500572E0	-1,824375153E1	-5,490000153E1
7,903947917E0	-9,600000381E0	-1,818750000E1	-5,465625381E1
