"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
3,583386755E0	-1,607374996E-1	-1,287687540E0	1,622499973E-1
3,603548916E0	-6,462499965E-3	-8,799999952E-1	-2,070749998E-1
3,623711285E0	4,138749838E-2	4,034250081E-1	-5,337749720E-1
3,643873519E0	1,148125008E-1	1,434537530E0	-5,933125019E-1
3,664035688E0	-2,887500077E-2	1,477162480E0	-4,943124950E-1
3,684198087E0	-3,342624903E-1	7,353500128E-1	-3,272500038E-1
3,704360255E0	-3,161124885E-1	-2,692250013E-1	-1,049124971E-1
3,724522491E0	-2,352624983E-1	-8,492000103E-1	1,649999991E-2
3,744684660E0	-2,161500007E-1	-8,098750114E-1	-3,355000168E-2
3,764847072E0	7,424999960E-3	-3,117125034E-1	-1,952500045E-1
3,785009217E0	3,404499888E-1	2,287999988E-1	-3,059374988E-1
3,805171399E0	3,319250047E-1	4,703874886E-1	-3,272500038E-1
3,825333557E0	-4,399999976E-3	4,650250077E-1	-3,059374988E-1
3,845495769E0	-2,299000025E-1	3,267000020E-1	-1,665125042E-1
3,865657925E0	-2,150499970E-1	8,304999769E-2	1,539999992E-2
3,885820321E0	-5,431250110E-2	-2,809124887E-1	1,143999994E-1
3,905982471E0	7,975000143E-2	-4,629625082E-1	1,218250021E-1
3,926144688E0	1,478125006E-1	-3,372874856E-1	6,971249729E-2
3,946306846E0	1,776500046E-1	7,246249914E-2	-5,912499968E-3
3,966469022E0	2,160124928E-1	4,214375019E-1	2,612499986E-3
3,986631409E0	1,531749964E-1	4,778124988E-1	6,861250103E-2
4,006793626E0	-2,199999988E-3	2,958999872E-1	1,281500012E-1
4,026955996E0	-1,097249985E-1	6,393750012E-2	1,963499933E-1
4,047118150E0	-7,672499865E-2	-1,168750040E-2	2,378749996E-1
4,067280352E0	8,937499672E-2	7,136250287E-2	2,186249942E-1
4,087442491E0	2,776125073E-1	-6,324999966E-3	2,176624984E-1
4,107604661E0	2,542375028E-1	-1,639000028E-1	2,186249942E-1
4,127767015E0	1,374999993E-2	-1,787499934E-1	2,228875011E-1
4,147929184E0	-2,469500005E-1	-3,932499886E-2	2,675749958E-1
4,168091434E0	-4,417875111E-1	3,946249932E-2	3,506250083E-1
4,188253525E0	-5,406500101E-1	2,199999988E-3	3,793624938E-1
4,208415981E0	-4,789125025E-1	-1,606000066E-1	3,229874969E-1
4,228577901E0	-2,523125112E-1	-3,309625089E-1	2,336124927E-1
4,248740299E0	-2,199999988E-3	-4,054875076E-1	9,941250086E-2
4,268902438E0	2,670249939E-1	-4,587000012E-1	-8,249999583E-2
4,289064646E0	5,447750092E-1	-5,427125096E-1	-1,303499937E-1
4,309226781E0	6,725124717E-1	-6,608250141E-1	-9,638749808E-2
4,329389163E0	5,000874996E-1	-6,693499684E-1	-1,175625026E-1
4,349551389E0	1,967625022E-1	-3,969624937E-1	-1,080750003E-1
4,369713545E0	-9,267500043E-2	6,462499965E-3	-1,251250058E-1
4,389875942E0	-3,832125068E-1	3,522749841E-1	-1,357125044E-1
4,410038096E0	-8,343499899E-1	7,970874906E-1	-1,080750003E-1
4,430200236E0	-1,238875031E0	1,190887451E0	-3,355000168E-2
4,450362482E0	-1,332512498E0	7,438749671E-1	1,539999992E-2
4,470524636E0	-1,018462539E0	1,011999995E-1	-8,249999583E-2
4,490687000E0	-6,055499911E-1	-1,830125004E-1	-1,931875050E-1
4,510849156E0	-2,884750068E-1	-4,235000014E-1	-2,389750034E-1
4,531011392E0	7,012499869E-2	-7,438749671E-1	-2,560249865E-1
4,551173537E0	4,798749983E-1	-1,020524979E0	-2,378749996E-1
4,571335675E0	7,075750232E-1	-1,180162549E0	-2,102375031E-1
4,591498039E0	5,341874957E-1	-1,228012443E0	-1,601874977E-1
4,611660277E0	2,227500081E-2	-9,971500039E-1	-9,955000132E-2
4,631822450E0	-5,736500025E-1	-3,458124995E-1	-2,296249941E-2
4,651984846E0	-8,823375106E-1	6,322249770E-1	8,992499858E-2
4,672147077E0	-7,961249948E-1	1,061087489E0	1,654125005E-1
4,692309233E0	-5,715875030E-1	6,758124828E-1	1,420374960E-1
4,712471612E0	-4,130499959E-1	-9,624999948E-4	1,649999991E-2
4,732633767E0	-2,022625059E-1	-6,489999592E-2	-1,017499994E-2
4,752796008E0	9,679999948E-2	1,746249944E-1	3,712499980E-3
4,772958161E0	4,511374831E-1	1,234750003E-1	-1,539999992E-2
4,793120534E0	6,682500243E-1	-3,320625126E-1	-1,759999990E-2
4,813282703E0	5,554999709E-1	-8,108375072E-1	-7,012499962E-3
