"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3,744684660E0	6,105000153E-2	5,179050446E0	6,318000317E0
3,764847072E0	2,260500044E-1	5,056950092E0	6,471000195E0
3,785009217E0	-4,189500213E-1	5,224050045E0	6,154950142E0
3,805171399E0	-1,003050089E0	5,370000362E0	5,845950127E0
3,825333557E0	-2,007000208E0	5,599950314E0	6,852000237E0
3,845495769E0	-2,629050016E0	5,671950340E0	8,391000748E0
3,865657925E0	-2,341950178E0	5,215050220E0	9,210000038E0
3,885820321E0	-1,444050074E0	4,884000301E0	8,427000046E0
3,905982471E0	-6,370500326E-1	4,954050064E0	6,841950417E0
3,926144688E0	-2,080500126E-1	5,152950287E0	5,758050442E0
3,946306846E0	-6,730500460E-1	5,671950340E0	6,129000187E0
3,966469022E0	-1,537050128E0	6,036000252E0	7,053000450E0
3,986631409E0	-1,948950052E0	6,273000240E0	7,695000172E0
4,006793626E0	-2,224050045E0	6,331050396E0	8,200050354E0
4,026955996E0	-2,308050156E0	6,259050369E0	8,490000725E0
4,047118150E0	-2,007000208E0	5,892000198E0	8,293050766E0
4,067280352E0	-1,966050148E0	5,607000351E0	8,359950066E0
4,087442491E0	-1,741050124E0	5,287050247E0	7,666050434E0
4,107604661E0	-1,432050109E0	5,184000015E0	6,172050476E0
4,127767015E0	-1,315050006E0	5,311050415E0	5,746050358E0
4,147929184E0	-1,566000104E0	5,422950268E0	6,651000500E0
4,168091434E0	-1,630950093E0	5,193000317E0	7,936950207E0
4,188253525E0	-1,354950070E0	4,771950245E0	9,364050865E0
4,208415981E0	-9,990000725E-1	4,599000454E0	1,054905033E1
4,228577901E0	-6,109500527E-1	4,461000443E0	1,033605003E1
4,248740299E0	-1,530000120E-1	3,979050159E0	9,790050507E0
4,268902438E0	-2,989500165E-1	3,886050224E0	9,366000175E0
4,289064646E0	-6,109500527E-1	4,213950157E0	8,451000214E0
4,309226781E0	3,495000303E-2	4,410000324E0	6,522000313E0
4,329389163E0	2,310000062E-1	5,095050335E0	4,846050262E0
4,349551389E0	5,350500345E-1	5,557050228E0	4,363950253E0
4,369713545E0	6,430500150E-1	6,096000195E0	5,134950161E0
4,389875942E0	2,410500050E-1	6,847950459E0	5,716950417E0
4,410038096E0	-7,780500650E-1	7,707000256E0	7,357050419E0
4,430200236E0	-2,119050026E0	7,173000336E0	1,157100010E1
4,450362482E0	-2,293950081E0	6,091050148E0	1,485795116E1
4,470524636E0	-1,839000106E0	5,385000229E0	1,449000072E1
4,490687000E0	-1,843950033E0	5,137950420E0	1,255800056E1
4,510849156E0	-1,615950108E0	4,357950211E0	1,110705090E1
4,531011392E0	-1,237950087E0	3,658950090E0	9,414000511E0
4,551173537E0	-8,550000191E-1	3,301950216E0	7,149000168E0
4,571335675E0	-4,069500268E-1	3,711000204E0	4,291950226E0
4,591498039E0	9,495000541E-2	4,473000050E0	2,011049986E0
4,611660277E0	3,409500122E-1	5,308050156E0	1,144050002E0
4,631822450E0	2,620500028E-1	5,800950050E0	2,371950150E0
4,651984846E0	-3,660000265E-1	5,500050068E0	6,772950172E0
4,672147077E0	-7,420500517E-1	4,891950130E0	1,120995045E1
4,692309233E0	-6,390000582E-1	4,449000359E0	1,330200100E1
4,712471612E0	-7,470000386E-1	4,864950180E0	1,276305103E1
4,732633767E0	-9,049500227E-1	5,191050053E0	1,186605072E1
4,752796008E0	-9,910500646E-1	4,549050331E0	1,179900074E1
4,772958161E0	-9,049500227E-1	3,820950270E0	1,120005035E1
4,793120534E0	-6,109500527E-1	3,745050192E0	8,772000313E0
4,813282703E0	4,350000322E-1	3,948000193E0	6,069000244E0
4,833444934E0	8,730000257E-1	4,513050079E0	4,680000305E0
4,853607089E0	6,960000396E-1	4,894050121E0	5,398950100E0
4,873769473E0	-4,650000334E-1	5,125950336E0	7,864950180E0
4,893931666E0	-6,730500460E-1	4,972950459E0	8,723999977E0
4,914093897E0	-7,380000353E-1	5,524050236E0	8,217000008E0
4,934256041E0	-7,810500264E-1	6,277950287E0	8,005949974E0
4,954418419E0	-5,820000172E-1	6,228000164E0	1,047495079E1
4,974580566E0	-3,829500079E-1	5,160000324E0	1,473600101E1
4,994743024E0	-4,930500090E-1	4,801050186E0	1,545195103E1
5,014904949E0	-1,567950130E0	5,296050072E0	1,283295059E1
5,035067334E0	-2,500050068E0	5,349000454E0	1,048905087E1
5,055229488E0	-2,890050173E0	4,674000263E0	8,611950874E0
5,075391729E0	-2,695950031E0	4,345950127E0	6,696000099E0
5,095554097E0	-1,759950042E0	4,492050171E0	4,993950367E0
5,115716255E0	-1,006049991E0	4,936950207E0	3,471000195E0
5,135878409E0	1,095000096E-2	5,533050060E0	9,640500546E-1
5,156040642E0	1,123950005E0	5,866050243E0	1,182000041E0
5,176202786E0	1,126950026E0	5,044950008E0	6,969000340E0
5,196365179E0	1,167000055E0	3,064950228E0	1,262700081E1
5,216527418E0	2,428950071E0	1,896000147E0	1,336200047E1
5,236689569E0	1,597950101E0	2,326950073E0	1,188000011E1
5,256851961E0	3,580500185E-1	3,448050261E0	1,090995026E1
5,277014112E0	5,595000088E-2	4,101000309E0	9,523950577E0
5,297176334E0	1,260000020E-1	5,050050259E0	6,979050159E0
5,317338487E0	1,930500120E-1	6,364050388E0	4,591950417E0
5,337500636E0	2,980500162E-1	6,726000309E0	4,120050430E0
5,357663019E0	6,105000153E-2	5,938050270E0	8,644950867E0
5,377825257E0	1,086000085E0	4,999050140E0	1,139205074E1
5,397987348E0	2,247000217E0	6,193950176E0	8,113950729E0
5,418149598E0	1,399500072E-1	8,124000549E0	7,312050343E0
5,438311980E0	-2,143050194E0	8,145000458E0	1,059405041E1
5,458474151E0	-3,072000027E0	6,241950512E0	1,422600079E1
5,478636366E0	-2,806050062E0	4,090050220E0	1,647705078E1
5,498798527E0	-1,069950104E0	2,779950142E0	1,399395084E1
5,518960926E0	-1,042050004E0	3,052950144E0	8,748000145E0
5,539123072E0	-6,010500193E-1	2,935050249E0	4,768950462E0
5,559285310E0	1,800000109E-2	2,908950090E0	2,557050228E0
5,579447464E0	2,220000178E-1	3,271050215E0	2,242950201E0
5,599609632E0	-2,230500132E-1	3,964950085E0	3,406950235E0
5,619772011E0	-2,419500053E-1	4,882050037E0	4,719000340E0
5,639934252E0	-1,319999993E-1	5,914050102E0	4,957950115E0
5,660096392E0	-3,600000218E-2	7,068000317E0	5,335950375E0
5,680258779E0	2,599500120E-1	7,453050137E0	6,166950226E0
5,700421030E0	3,510000110E-1	6,474000454E0	9,421050072E0
5,720583164E0	-1,030050039E0	4,735949993E0	1,645095062E1
5,740745315E0	-9,630000591E-1	4,105950356E0	1,833495140E1
5,760907478E0	2,295000106E-2	4,075050354E0	1,299300098E1
5,781069846E0	2,890500128E-1	4,930050373E0	7,269000530E0
5,801232075E0	2,505000122E-2	5,952000141E0	4,735050201E0
5,821394214E0	-5,200500488E-1	6,951000214E0	3,499950171E0
5,841556607E0	-1,378950119E0	7,438950539E0	3,937950134E0
5,861718760E0	-2,713050127E0	6,987000465E0	7,639950275E0
