"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3,782155776E0	2,958000183E0	9,454950333E0	4,177950382E0
3,802318231E0	2,625000238E0	9,769050598E0	5,518050194E0
3,822480447E0	3,370050192E0	8,920950890E0	4,987050056E0
3,842643145E0	4,363950253E0	7,846050262E0	3,556950092E0
3,862805366E0	4,711050034E0	7,863000393E0	2,455950022E0
3,882967836E0	4,495050430E0	8,215050697E0	2,262000084E0
3,903130289E0	4,054950237E0	8,457000732E0	3,025950193E0
3,923292774E0	3,745950222E0	8,263050079E0	3,739050150E0
3,943455158E0	4,150950432E0	7,948950291E0	3,375000238E0
3,963617377E0	4,215000153E0	7,900950432E0	2,731050014E0
3,983779824E0	3,832050085E0	7,779000282E0	2,395950079E0
4,003942536E0	3,805950165E0	8,047050476E0	3,069000244E0
4,024104997E0	3,721950293E0	8,449950218E0	3,253050089E0
4,044267230E0	2,926950216E0	9,072000504E0	4,198950291E0
4,064429701E0	3,007950068E0	9,100950241E0	4,495950222E0
4,084592158E0	3,496950150E0	9,091050148E0	3,423000097E0
4,104754605E0	3,982950211E0	8,662950516E0	3,160050154E0
4,124917011E0	4,773000240E0	8,149950027E0	3,043050051E0
4,145079509E0	4,716000080E0	7,975050449E0	2,776950121E0
4,165241886E0	3,952050209E0	7,990050316E0	3,904950142E0
4,185404331E0	3,672000170E0	8,348999977E0	4,270950317E0
4,205566778E0	3,094950199E0	8,890050888E0	4,489050388E0
4,225729217E0	3,444000244E0	8,754000664E0	3,771000147E0
4,245891707E0	4,251000404E0	8,137949944E0	2,551950216E0
4,266054203E0	4,333050251E0	7,647000313E0	1,855050087E0
4,286216674E0	4,294050217E0	7,264050484E0	2,169000149E0
4,306379141E0	3,772050142E0	7,810050488E0	2,911050081E0
4,326541622E0	3,187950134E0	8,754000664E0	3,829950094E0
4,346703857E0	3,106950045E0	9,052950859E0	4,042950153E0
4,366866312E0	3,363000154E0	9,039000511E0	3,366000175E0
4,387028798E0	3,849000216E0	8,967000008E0	2,820000172E0
4,407191247E0	3,886950254E0	8,851950645E0	3,093000174E0
4,427353956E0	4,285050392E0	8,452050209E0	3,571950197E0
4,447516403E0	4,189050198E0	8,167050362E0	3,406950235E0
4,467678639E0	4,057050228E0	7,861050606E0	3,346950054E0
4,487841071E0	4,246050358E0	7,918050289E0	3,414000273E0
4,508003533E0	4,038000107E0	8,253000259E0	3,816000223E0
4,528165985E0	3,925950289E0	8,326950073E0	4,240050316E0
4,548328466E0	3,781950235E0	8,476050377E0	3,628950119E0
4,568490932E0	3,870000124E0	8,196000099E0	3,325050116E0
4,588653299E0	3,556950092E0	8,020950317E0	3,112050056E0
4,608815749E0	3,757950068E0	7,903950214E0	2,815050125E0
4,628978298E0	3,267000198E0	8,392050743E0	3,114000082E0
4,649140692E0	3,070950031E0	8,694000244E0	3,781950235E0
4,669303164E0	3,577950239E0	8,638950348E0	4,012050152E0
4,689465616E0	4,210050106E0	8,301000595E0	3,304050207E0
4,709628164E0	4,752000332E0	8,244000435E0	2,442000151E0
4,729790549E0	4,810950279E0	8,290950775E0	2,502000093E0
4,749953096E0	4,114950180E0	8,614950180E0	2,818050146E0
4,770115472E0	3,247950077E0	9,010050774E0	3,217050076E0
4,790277935E0	3,022950172E0	8,845050812E0	3,781950235E0
4,810440399E0	2,878950119E0	8,800950050E0	4,575000286E0
4,830602880E0	3,358050108E0	8,263050079E0	3,864000082E0
4,850765122E0	3,778950214E0	7,887000561E0	3,133950233E0
4,870927554E0	3,844050169E0	7,690950394E0	2,863050222E0
4,891090231E0	3,982950211E0	7,635000229E0	2,782050133E0
4,911252457E0	3,571050167E0	7,972950459E0	2,949000120E0
4,931414914E0	3,171000242E0	8,353950500E0	3,547950268E0
4,951577363E0	2,797950029E0	8,655000687E0	4,093950272E0
4,971739825E0	2,509950161E0	9,550950050E0	4,057950020E0
4,991902286E0	2,908050060E0	9,229950905E0	3,687000275E0
5,012064743E0	3,789000273E0	8,458950043E0	2,959050179E0
5,032227219E0	4,480950356E0	7,840950489E0	2,764950037E0
5,052389680E0	4,107000351E0	8,095050812E0	3,363000154E0
5,072552362E0	3,571050167E0	8,657999992E0	4,798050404E0
5,092714584E0	3,679050207E0	8,935950279E0	4,819050312E0
5,112877002E0	3,583050251E0	9,079050064E0	4,261050224E0
5,133039520E0	4,207950115E0	8,280000687E0	2,976000071E0
5,153201971E0	4,777950287E0	7,819950581E0	2,161950111E0
5,173364341E0	4,438050270E0	7,971000195E0	2,587950230E0
5,193526812E0	3,520950079E0	8,584050179E0	3,390000105E0
5,213689235E0	2,968050241E0	8,739000320E0	4,431000233E0
5,233851699E0	3,265050173E0	8,208000183E0	4,587000370E0
5,254014144E0	3,435000181E0	8,124000549E0	3,610050201E0
5,274176586E0	4,118999958E0	7,743000507E0	3,541050196E0
5,294339053E0	4,263000011E0	7,603950500E0	2,797950029E0
5,314501486E0	3,660000086E0	8,041950226E0	3,382950068E0
5,334663992E0	3,406050205E0	8,361000061E0	4,096050262E0
5,354826452E0	3,319950104E0	8,437950134E0	4,315950394E0
5,374988680E0	3,214050055E0	8,536050797E0	3,907050133E0
5,395151159E0	3,322050095E0	8,775000572E0	3,912000179E0
5,415313606E0	3,328950167E0	9,039000511E0	3,778050184E0
5,435476078E0	4,093050003E0	8,497050285E0	3,901950121E0
5,455638525E0	4,476000309E0	8,341950417E0	3,715050220E0
5,475801209E0	4,524000168E0	8,143050194E0	4,033950329E0
5,495963670E0	4,189050198E0	8,053950310E0	3,832950115E0
5,516125875E0	3,787050247E0	8,050050735E0	3,711000204E0
5,536288558E0	3,171000242E0	8,469000816E0	3,790050268E0
5,556451036E0	2,944050074E0	9,169950485E0	3,747000217E0
5,576613265E0	2,949000120E0	8,964000702E0	3,301050186E0
5,596775726E0	3,553950071E0	8,028000832E0	2,929950237E0
5,616938433E0	3,352950096E0	7,765050411E0	3,292050123E0
5,637100649E0	3,472950220E0	7,321950436E0	3,672000170E0
5,657263132E0	3,406050205E0	7,690950394E0	3,771000147E0
5,677425607E0	3,280950069E0	8,071050644E0	4,063050270E0
5,697588303E0	3,178050041E0	8,329950333E0	3,984000206E0
5,717750534E0	3,076050043E0	8,791950226E0	4,279950142E0
5,737913004E0	3,175950050E0	9,076950073E0	3,517050266E0
5,758075485E0	3,655050278E0	8,233950615E0	2,722050190E0
5,778237933E0	4,299000263E0	7,257000446E0	3,421050072E0
5,798400399E0	4,030950069E0	7,567950249E0	3,838050127E0
5,818562862E0	3,612000227E0	7,996950150E0	4,515000343E0
5,838725336E0	3,649950266E0	8,239050865E0	4,618050098E0
5,858887783E0	3,655050278E0	8,779950142E0	3,931050301E0
5,879050240E0	3,612000227E0	8,719950676E0	3,532950163E0
5,899212697E0	3,933000088E0	8,074049950E0	3,220050097E0
5,919375155E0	3,940050125E0	7,819950581E0	3,835050106E0
5,939537645E0	3,316950083E0	8,434950829E0	4,213050365E0
5,959700093E0	2,724000216E0	8,847000122E0	4,558050156E0
5,979862563E0	4,024050236E0	8,959050179E0	3,871050119E0
6,000025021E0	4,819050312E0	8,239050865E0	3,025950193E0
6,020187476E0	4,572000027E0	7,900950432E0	2,937000036E0
6,040349895E0	4,045050144E0	7,932000160E0	3,510000229E0
6,060512612E0	3,850950241E0	7,855950356E0	3,652950287E0
6,080675144E0	3,528000116E0	8,241000175E0	3,070950031E0
6,100837298E0	2,833950043E0	8,533050537E0	2,734050035E0
6,120999769E0	2,839050055E0	8,635950089E0	3,598050117E0
6,141162454E0	3,592950106E0	8,430000305E0	4,192049980E0
6,161324911E0	4,375950336E0	7,807950497E0	4,419000149E0
6,181487362E0	4,810950279E0	7,549050331E0	4,711050034E0
6,201649899E0	4,588950157E0	7,887000561E0	3,817950249E0
6,221812360E0	3,898950100E0	8,500050545E0	2,169000149E0
6,241974827E0	2,755050182E0	9,034049988E0	3,553050280E0
6,262137278E0	2,601000071E0	9,091050148E0	4,624950409E0
6,282299742E0	2,829000235E0	8,872950554E0	4,540950298E0
6,302462221E0	3,078000069E0	7,659000397E0	5,016000271E0
6,322624673E0	4,038000107E0	7,341000557E0	4,941000462E0
6,342787144E0	4,339950085E0	7,543950558E0	3,615000248E0
6,362949581E0	3,655050278E0	8,031000137E0	3,766050100E0
6,383112038E0	2,937000036E0	8,480999947E0	4,774050236E0
6,403274443E0	2,922000170E0	8,296050072E0	4,767000198E0
6,423436981E0	2,599050045E0	8,430000305E0	4,660950184E0
6,443599337E0	3,183000088E0	8,124000549E0	4,779000282E0
6,463761896E0	3,532950163E0	7,719000340E0	5,035050392E0
6,483924301E0	3,406050205E0	7,803000450E0	4,972050190E0
6,504086824E0	2,913000107E0	7,960950375E0	4,804950237E0
6,524249539E0	2,925000191E0	8,181000710E0	2,992050171E0
6,544411784E0	2,520000219E0	8,521050453E0	3,505050182E0
6,564574255E0	2,700000048E0	8,277000427E0	4,021950245E0
6,584736656E0	3,267000198E0	7,927950382E0	3,538050175E0
6,604899204E0	3,052050114E0	8,041950226E0	3,615000248E0
6,625061680E0	2,958000183E0	8,181000710E0	4,324050426E0
6,645224128E0	3,286050081E0	7,828950405E0	4,101000309E0
6,665386803E0	3,055950165E0	7,861050606E0	3,984000206E0
6,685549015E0	2,728050232E0	8,263050079E0	4,342950344E0
6,705711481E0	3,025050163E0	8,596050262E0	4,273050308E0
6,725873928E0	3,307950258E0	8,971050262E0	4,093950272E0
6,746036390E0	4,015950203E0	8,341950417E0	3,925950289E0
6,766199097E0	4,419000149E0	7,924950600E0	4,261050224E0
6,786361529E0	3,781950235E0	8,044950485E0	5,083050251E0
6,806523993E0	3,202050209E0	8,272050858E0	5,118000031E0
6,826686237E0	3,133050203E0	8,433000565E0	4,620000362E0
6,846848925E0	3,487050056E0	8,191050529E0	4,111050129E0
6,867011165E0	3,970950127E0	7,614000320E0	3,931050301E0
6,887173618E0	3,910950184E0	7,530000210E0	4,486050129E0
6,907336314E0	3,976050138E0	7,948950291E0	4,867050171E0
6,927498532E0	3,387000084E0	8,710050583E0	4,663950443E0
6,947661224E0	3,435000181E0	8,239050865E0	4,078950405E0
6,967823695E0	3,145050049E0	8,356050491E0	4,575000286E0
6,987986154E0	2,596950054E0	8,952000618E0	4,603950024E0
7,008148621E0	2,403000116E0	8,730000496E0	4,720950127E0
7,028311088E0	3,154950142E0	7,429950237E0	4,405050278E0
7,048473550E0	3,681000233E0	6,891000271E0	3,316050053E0
7,068636008E0	3,468000174E0	6,999000549E0	3,162000179E0
7,088798467E0	2,736000061E0	8,031000137E0	3,615000248E0
7,108960919E0	1,906950116E0	9,235050201E0	4,345050335E0
7,129123438E0	1,786950111E0	9,570000648E0	4,644000053E0
7,149285804E0	2,986950159E0	8,338950157E0	4,776000023E0
7,169448326E0	3,744000196E0	7,695000172E0	3,715050220E0
7,189610807E0	3,829950094E0	7,470000267E0	3,607950211E0
7,209773260E0	3,277050257E0	8,119050026E0	4,342950344E0
7,229935723E0	2,926950216E0	8,812950134E0	4,834050179E0
7,250098170E0	2,800050020E0	8,878050804E0	4,921950340E0
7,270260846E0	3,384000063E0	8,191050529E0	5,140050411E0
7,290423073E0	3,744000196E0	7,942050457E0	4,627950191E0
7,310585774E0	3,643050194E0	7,666950226E0	4,531949997E0
7,330748005E0	3,529950142E0	7,627950191E0	4,417050362E0
7,350910448E0	3,091950178E0	8,086050034E0	4,471950054E0
7,371073154E0	2,743050098E0	8,761050224E0	3,936000109E0
7,391235413E0	2,392950058E0	8,884950638E0	4,114950180E0
7,411397865E0	2,368950129E0	8,690999985E0	4,519950390E0
7,431560324E0	2,818950176E0	8,410950661E0	4,714050293E0
7,451722776E0	3,352950096E0	7,861050606E0	4,800000191E0
7,471885232E0	3,966000080E0	7,351050377E0	4,482000351E0
7,492047704E0	3,993000269E0	7,209000111E0	4,197000027E0
7,512210396E0	3,459000111E0	7,645050526E0	3,928950071E0
7,532372863E0	2,563050032E0	8,428050041E0	4,438950062E0
7,552535348E0	2,419950008E0	8,461050034E0	4,474050045E0
7,572697891E0	2,628000021E0	8,160000801E0	4,279950142E0
7,592860286E0	2,797950029E0	8,341950417E0	3,933000088E0
7,613022747E0	2,950950146E0	7,723950386E0	4,066950321E0
7,633185204E0	3,205050230E0	7,674000263E0	4,270950317E0
7,653347682E0	3,151950121E0	7,657050133E0	4,288050175E0
7,673510134E0	3,171000242E0	7,698000431E0	4,306950092E0
7,693672601E0	3,147000074E0	7,966050148E0	4,708950043E0
7,713835058E0	3,064050198E0	8,145000458E0	4,531949997E0
7,733997603E0	3,387000084E0	8,101950645E0	4,342950344E0
7,754160040E0	3,310050249E0	8,374950409E0	4,084050179E0
7,774322511E0	3,043950081E0	8,530950546E0	4,435950279E0
7,794485001E0	3,247950077E0	8,220000267E0	4,303950310E0
7,814647442E0	3,529950142E0	8,080950737E0	4,881000042E0
7,834809900E0	3,532950163E0	8,089950562E0	5,085000038E0
7,854972376E0	3,406050205E0	8,272050858E0	4,846050262E0
7,875134824E0	3,202050209E0	8,569050789E0	4,539000034E0
7,895297286E0	3,255000114E0	8,461050034E0	4,303950310E0
7,915459772E0	3,841950178E0	7,803000450E0	3,415950060E0
7,935622237E0	3,700050116E0	7,473000526E0	3,277050257E0
7,955784935E0	3,459000111E0	7,365000248E0	3,952050209E0
7,975947396E0	3,073050261E0	7,633050442E0	4,618050098E0
7,996109851E0	2,962950230E0	7,923000336E0	4,506000042E0
8,016272312E0	2,890950203E0	8,248050690E0	3,816000223E0
8,036434842E0	3,018000126E0	8,224050522E0	3,544950247E0
8,056597304E0	3,210000038E0	8,052000046E0	3,838050127E0
8,076759703E0	3,303000212E0	7,918050289E0	3,985950232E0
8,096922476E0	3,337050200E0	7,942050457E0	4,339950085E0
8,117084606E0	2,980050087E0	8,341950417E0	4,690050125E0
8,137247075E0	2,542050123E0	8,713050842E0	5,557050228E0
