"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2,562328380E0	-1,552374959E-1	3,987500072E-2	-7,246249914E-2
2,582490600E0	-9,459999949E-2	3,561250120E-2	-1,256749928E-1
2,602653076E0	-5,843750015E-2	1,512499992E-3	-1,458874941E-1
2,622815529E0	-2,323750034E-2	2,818750031E-2	-5,967500061E-2
2,642977980E0	5,981250107E-2	7,919999957E-2	4,784999788E-2
2,663140370E0	8,744999766E-2	3,767500073E-2	5,321250111E-2
2,683302617E0	5,335000157E-2	-4,001250118E-2	2,337500080E-2
2,703465069E0	5,499999970E-3	-4,853750020E-2	-1,924999990E-2
2,723627804E0	8,662499487E-3	-6,971249729E-2	-4,798749834E-2
2,743790014E0	3,519999981E-2	-3,891250119E-2	-5,651250109E-2
2,763952491E0	2,351249941E-2	1,539999992E-2	-2,131249942E-2
2,784114928E0	-4,564999789E-2	7,177499682E-2	7,548750192E-2
2,804277375E0	-1,233374998E-1	8,236250281E-2	1,872749925E-1
2,824439832E0	-2,158749998E-1	7,713750005E-2	2,319625020E-1
2,844602221E0	-2,670249939E-1	3,024999984E-2	1,967625022E-1
2,864764659E0	-2,340250015E-1	-2,928750031E-2	1,244374961E-1
2,884927140E0	-1,328250021E-1	-3,671250120E-2	1,168750040E-2
2,905089597E0	-2,117500082E-2	-2,749999985E-3	-6,819999963E-2
2,925251829E0	9,803749621E-2	4,839999974E-2	-6,819999963E-2
2,945414267E0	1,171500012E-1	8,662500232E-2	-4,468749836E-2
2,965576755E0	6,613750011E-2	9,831249714E-2	1,278750040E-2
2,985739226E0	-4,564999789E-2	9,308750182E-2	4,042499885E-2
3,005901682E0	-2,138125002E-1	4,674999975E-3	6,324999966E-3
3,026064173E0	-3,350875080E-1	-5,499999970E-4	-2,557500079E-2
3,046226641E0	-3,447124958E-1	6,641250104E-2	-2,557500079E-2
3,066388992E0	-3,361875117E-1	4,097500071E-2	-5,431250110E-2
3,086551529E0	-3,553000093E-1	2,488750033E-2	-1,160499975E-1
3,106713913E0	-3,328875005E-1	4,936249927E-2	-1,245749965E-1
3,126876380E0	-2,264624983E-1	5,898749828E-2	-8,841250092E-2
3,147038817E0	-1,361249983E-1	1,966249943E-2	-8,195000142E-2
3,167201289E0	-8,497499675E-2	-1,464374959E-1	-1,245749965E-1
3,187363534E0	9,762499481E-3	-2,879250050E-1	-1,383250058E-1
3,207526016E0	5,224999785E-2	-5,018749833E-1	-2,043250054E-1
3,227688443E0	-6,682500243E-2	-7,924125195E-1	-2,341624945E-1
3,247850914E0	-1,787500083E-2	-5,198875070E-1	-6,916250288E-2
3,268013360E0	-6,187499966E-3	1,654125005E-1	4,331249893E-1
3,288175831E0	-1,897500083E-2	7,858124971E-1	8,949875236E-1
3,308338283E0	2,997500077E-2	1,052974939E0	7,768750191E-1
3,328500754E0	-8,813749999E-2	6,986374855E-1	1,457500011E-1
3,348663132E0	-3,606624901E-1	2,172499895E-2	-4,927999973E-1
3,368825581E0	-3,602499887E-2	-2,517625093E-1	-7,066124678E-1
3,388988053E0	4,204750061E-1	-3,539249897E-1	-4,735499918E-1
3,409150290E0	4,162124991E-1	-4,677749872E-1	-2,532750070E-1
3,429312751E0	2,033624947E-1	-4,677749872E-1	-1,798499972E-1
3,449475454E0	1,237499993E-3	-4,230875075E-1	-1,021625027E-1
3,469637932E0	-8,181250095E-2	-4,124999940E-1	3,932499886E-2
3,489800394E0	-9,666249901E-2	-3,559874892E-1	9,679999948E-2
3,509962840E0	-6,049999967E-2	-1,134374961E-1	6,489999592E-2
3,530125312E0	-5,513750017E-2	2,006125003E-1	-4,895000160E-2
3,550287538E0	3,299999982E-3	2,952125072E-1	-1,468500048E-1
3,570450004E0	3,739999980E-2	6,861250103E-2	-1,670625061E-1
3,590612471E0	1,924999990E-2	-1,687124968E-1	-1,234750003E-1
3,610774865E0	-7,287499961E-3	-2,176624984E-1	-9,363749623E-2
3,630937297E0	-4,991250113E-2	-7,727500051E-2	-3,093750030E-2
3,651099764E0	1,924999990E-2	1,036750004E-1	-1,168750040E-2
3,671261986E0	7,466249913E-2	2,484624982E-1	-3,299999982E-3
3,691424428E0	-1,040875018E-1	1,813624948E-1	3,616249934E-2
3,711586887E0	-2,967250049E-1	-3,148749843E-2	2,227500081E-2
3,731749353E0	-3,478749990E-1	-1,379124969E-1	1,594999991E-2
3,751911844E0	-2,084500045E-1	-4,207500070E-2	-1,388750039E-2
3,772074545E0	-1,786125004E-1	1,036750004E-1	-2,777500078E-2
3,792236771E0	-2,829749882E-1	3,671250120E-2	8,717499673E-2
3,812399142E0	-1,893374920E-1	-1,623875052E-1	2,638624907E-1
3,832561673E0	1,247124970E-1	-1,846625060E-1	3,532375097E-1
3,852724137E0	2,875125110E-1	-6,655000150E-2	2,829749882E-1
3,872886536E0	1,725624949E-1	-4,812499974E-3	1,511124969E-1
3,893048992E0	9,762499481E-3	2,282499894E-2	1,031249985E-1
3,913211469E0	-3,396249935E-2	6,861250103E-2	9,143749624E-2
3,933373920E0	4,056249931E-2	-1,649999991E-2	8,084999770E-2
3,953536375E0	1,011999995E-1	-1,143999994E-1	-1,168750040E-2
3,973698822E0	8,002500236E-2	-8,676250279E-2	-9,267500043E-2
3,993861284E0	-1,264999993E-2	-4,317500070E-2	-8,304999769E-2
4,014023767E0	-7,961250097E-2	-1,869999990E-2	-6,489999592E-2
4,034185992E0	-1,296624988E-1	1,649999991E-2	-5,857500061E-2
4,054348485E0	-5,087500066E-2	8,992499858E-2	5,211250111E-2
4,074510937E0	1,310375035E-1	1,515250057E-1	1,776500046E-1
4,094673380E0	1,406625062E-1	1,431374997E-1	2,425500005E-1
4,114835836E0	6,187500060E-2	1,047749966E-1	2,330625057E-1
4,134998215E0	-4,991250113E-2	8,882500231E-2	1,116499975E-1
4,155160742E0	-1,732500046E-1	8,456250280E-2	-1,594999991E-2
4,175323101E0	-1,765500009E-1	3,671250120E-2	-6,710000336E-2
4,195485566E0	-4,344999790E-2	2,914999984E-2	-5,224999785E-2
4,215648009E0	1,501500010E-1	3,561250120E-2	4,675000161E-2
4,235810458E0	2,758249938E-1	2,598750032E-2	1,106875017E-1
4,255972962E0	2,673000097E-1	2,612499986E-3	6,599999964E-2
4,276135424E0	1,065625027E-1	-1,223750040E-2	-2,447500080E-2
4,296297910E0	-3,286249936E-2	2,076249942E-2	-1,266375035E-1
4,316460391E0	-1,392875016E-1	-2,186249942E-2	-1,798499972E-1
4,336622852E0	-1,040875018E-1	1,512499992E-3	-1,288374960E-1
4,356785091E0	-1,154999994E-2	1,539999992E-2	-2,447500080E-2
4,376947538E0	1,924999990E-2	9,515000135E-2	5,211250111E-2
4,397110259E0	-8,813749999E-2	1,058750004E-1	8,401250094E-2
4,417272490E0	-1,775124967E-1	8,882500231E-2	7,658749819E-2
4,437434943E0	-1,572999954E-1	8,662500232E-2	4,248749837E-2
4,457597400E0	-9,982500225E-2	1,175625026E-1	-4,042499885E-2
4,477759841E0	-1,073874980E-1	9,418749809E-2	-9,157499671E-2
4,497922316E0	-1,168750003E-1	4,936249927E-2	-1,288374960E-1
4,518084778E0	-6,366249919E-2	6,324999779E-2	-1,373624951E-1
4,538247150E0	3,629999980E-2	2,282499894E-2	-1,223749965E-1
4,558409626E0	6,723749638E-2	2,914999984E-2	-6,819999963E-2
4,578572136E0	1,023000032E-1	8,566249907E-2	-6,710000336E-2
4,598734518E0	1,087625027E-1	9,831249714E-2	-5,321250111E-2
4,618896980E0	6,819999963E-2	1,388749927E-1	-4,372499883E-2
4,639059463E0	1,374999993E-4	1,196250021E-1	-3,299999982E-2
4,659221933E0	1,924999990E-2	4,097500071E-2	3,616249934E-2
4,679384385E0	1,267749965E-1	3,712499980E-3	7,026249915E-2
4,699546847E0	1,694000065E-1	-1,333750039E-2	3,932499886E-2
4,719709320E0	6,723749638E-2	3,671250120E-2	-3,836249933E-2
4,739871788E0	-4,138749838E-2	1,058750004E-1	-1,544124931E-1
4,760034012E0	-1,222374961E-1	1,366750002E-1	-2,256374955E-1
4,780196705E0	-1,637624949E-1	1,238875017E-1	-1,788875014E-1
4,800358939E0	-1,126125008E-1	1,016125008E-1	-1,095874980E-1
4,820521411E0	2,461249940E-2	1,512499992E-3	-3,616249934E-2
4,840684113E0	1,577125043E-1	3,135000169E-2	1,704999991E-2
4,860846337E0	1,577125043E-1	6,215000153E-2	-2,777500078E-2
4,881008770E0	9,487500042E-2	6,751249731E-2	-7,562500238E-2
4,901171228E0	-5,224999972E-3	-1,869999990E-2	-1,618375033E-1
4,921333688E0	-7,218749821E-2	-4,812499974E-3	-2,065249979E-1
4,941496361E0	-1,009249985E-1	-3,038750030E-2	-1,746249944E-1
4,961658823E0	-9,624999948E-4	-4,812499974E-3	-9,693749994E-2
4,981821284E0	3,849999979E-2	7,603749633E-2	7,342500240E-2
5,001983746E0	5,444999784E-2	5,156249925E-2	2,202749997E-1
5,022146203E0	-3,492499888E-2	4,936249927E-2	2,106499970E-1
5,042308673E0	-1,222374961E-1	9,088750184E-2	9,569999576E-2
