"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
3,801802918E0	-2,400000000E1	-9,600000381E0	-2,028750038E1
3,821794794E0	-2,424375153E1	-9,543750763E0	-2,010000038E1
3,841779097E0	-2,405625153E1	-9,412500381E0	-2,034375000E1
3,861773233E0	-2,405625153E1	-9,412500381E0	-2,051250076E1
3,881762358E0	-2,424375153E1	-9,112500191E0	-2,021250153E1
3,901759003E0	-2,394375038E1	-8,812500000E0	-2,034375000E1
3,921751444E0	-2,375625038E1	-8,756250381E0	-2,058750153E1
3,941740535E0	-2,381250000E1	-8,700000763E0	-2,058750153E1
3,961728286E0	-2,400000000E1	-8,643750191E0	-2,051250076E1
3,981726547E0	-2,394375038E1	-8,643750191E0	-2,058750153E1
4,001721127E0	-2,381250000E1	-8,512500763E0	-2,051250076E1
4,021726382E0	-2,394375038E1	-8,156250000E0	-2,051250076E1
4,041726067E0	-2,394375038E1	-8,343750000E0	-2,064375114E1
4,061721921E0	-2,411250114E1	-8,512500763E0	-2,028750038E1
4,081727082E0	-2,411250114E1	-8,756250381E0	-2,010000038E1
4,101725648E0	-2,430000114E1	-8,700000763E0	-2,034375000E1
4,121721793E0	-2,430000114E1	-8,456250191E0	-2,051250076E1
4,141725286E0	-2,430000114E1	-8,456250191E0	-2,070000076E1
4,161724490E0	-2,460000038E1	-8,343750000E0	-2,088750076E1
4,181719403E0	-2,454375076E1	-8,512500763E0	-2,100000000E1
4,201722955E0	-2,460000038E1	-8,400000572E0	-2,118750000E1
4,221721379E0	-2,441250038E1	-8,100000381E0	-2,124375153E1
4,241728542E0	-2,454375076E1	-7,612500191E0	-2,160000038E1
4,261729874E0	-2,441250038E1	-7,800000191E0	-2,130000114E1
4,281727884E0	-2,411250114E1	-7,612500191E0	-2,154375076E1
4,301731419E0	-2,430000114E1	-7,443750381E0	-2,171250153E1
4,321731805E0	-2,424375153E1	-7,500000477E0	-2,160000038E1
4,341726383E0	-2,405625153E1	-7,443750381E0	-2,171250153E1
4,361729042E0	-2,400000000E1	-7,500000477E0	-2,171250153E1
4,381727720E0	-2,405625153E1	-7,556250095E0	-2,178750038E1
4,401723609E0	-2,424375153E1	-7,856250286E0	-2,160000038E1
4,421726141E0	-2,405625153E1	-7,612500191E0	-2,160000038E1
4,441726152E0	-2,424375153E1	-7,556250095E0	-2,130000114E1
4,461721543E0	-2,411250114E1	-7,612500191E0	-2,130000114E1
4,481723712E0	-2,405625153E1	-7,856250286E0	-2,141250038E1
4,501723261E0	-2,430000114E1	-7,800000191E0	-2,130000114E1
4,521728972E0	-2,405625153E1	-7,612500191E0	-2,130000114E1
4,541728747E0	-2,400000000E1	-7,856250286E0	-2,160000038E1
4,561725414E0	-2,375625038E1	-7,743750095E0	-2,154375076E1
